Scholarship Name,Scholarship Sponsor,Description,Eligibility:,Application closing date:,Support Type:,Level of Study:,Gender:,Frequency of Offer:,Fields of Study:,Location of Study:,No Offered Per Year:,Target Group:,Subjects:,Scholarship website
Dr Ting Postgraduate Masters by Coursework Scholarship,University of Adelaide,The Dr Ting Postgraduate Masters by Coursework Scholarship has been established by Dr Sing Ting Pty Ltd to support one commencing postgraduate coursework student who is undertaking a Master by Coursework program of study at the University of Adelaide. Dr Ting is a medical graduate (1974) of the University of Adelaide. Dr Ting attributes her success to her education from the University of Adelaide and would like to provide the same opportunities that were offered to her as a result of her time at the University of Adelaide.,"Applicants must: be Australian or New Zealand citizens, permanent residents of Australia or holders of a permanent humanitarian visa undertaking study as a Commonwealth supported student and must remain enrolled on a full time basis in the approved program for which the scholarship was approved. Selection of the successful candidate will be made according to financial need with a preference for humanitarian visa holders, Indigenous students and students who have relocated from a rural, regional or remote area. Students in receipt of other University of Adelaide Scholarships may not apply for this Scholarship.",Early March,Equity Scholarship,,Co-Ed,Occasional,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services",Adelaide Metropolitan,,,,http://www.adelaide.edu.au/scholarships/
Dynamic soft matter materials PhD scholarship,Queensland University of Technology,Join our multinational research team based at QUT and Karlsruhe Institute of Technology (KIT) in Germany in researching advanced reprogrammable material design.,"This is a PhD scholarship for students interested to join QUT multinational research team based at QUT and Karlsruhe Institute of Technology (KIT) in Germany in researching advanced reprogrammable material design. You must fulfil our PhD admission criteria, including English language requirements (an IELTS score of 6.5 or above if English is not your first language).",,Scholarship,,Co-Ed,,"Mathematics, Sciences",Brisbane Metropolitan,,,,http://www.qut.edu.au/study/fees-and-scholarships/scholarships/dynamic-soft-matter-materials-phd-scholarship
E and F J Cowper Award in Chemistry,UNSW Sydney,The award was established to encourage students to undertake study in the School of Chemistry at UNSW.,Applicants must: be full-time undergraduate students undertaking studies in the School of Chemistry; have completed the HSC (or equivalent) in the year prior to commencing study at UNSW. Selection is based on academic merit and leadership qualities.,30 September,Scholarship,,Co-Ed,Annual,Sciences,Sydney Metropolitan,1,,Chemistry,http://www.scholarships.unsw.edu.au/scholarships/id/88/3212
Eberhard Wenzel Scholarship for International Public Health,Griffith University,The objective of this scholarship is to enable students to undertake research which will advance understanding of a public health topic relevant to the academic interests of the late Dr Eberhard Wenzel. Dr Wenzel was an academic in the School of Public Health and worked in public health with a range of international health agencies for over 20 years.,Applicant must: be Australian citizens or permanent residents or humanitarian visa holders; be enrolled in Master of Public Health (Research option) or Master of Health Services Management (Honours) or Bachelor of Public Health (Honours). Selection is based on academic merit and personal achievement.,End March,Scholarship,,Co-Ed,Annual,Health Services & Support,"Brisbane Metropolitan, Gold Coast",1,,"Public health, Dietetics, Nutrition, Health service management",http://www.griffith.edu.au/scholarships/scholarship-listings/eberhard-wenzel-award-for-international-public-health
Econometrics Honours Memorial Scholarship,Monash University,"The Faculty of Business and Economics established 2 scholarships in memory of the tragic events that took place in October 2002 in the Department Econometrics and Business Statistics and its honours students. A major fundraising campaign was launched by the Econometrics and Business Statistics Department and its alumni, and this, along with contributions from many others, has enabled the faculty to offer 2 scholarships in perpetuity.","Applicants must: be Australian or New Zealand citizens, Australian permanent residents, permanent humanitarian visa holders or international students; and be commencing or continuing full-time in the econometrics honours program at a Monash campus in Australia. Selection is based on academic achievement. Tenure is dependent on maintaining full-time enrolment and a minimum of an honours level 2A (distinction) grade average for the duration of the degree.",No application required,Scholarship,,Co-Ed,Annual,Economics,Melbourne Metropolitan,2,,Econometrics,http://www.monash.edu.au/study/scholarships/international/econometrics.html
Edward Arndt Fund,University of Western Australia,"A sum of $3000 having been bequeathed to the University by Mrs Marie Florence Catherine Arndt for the purpose of establishing a fund in memory of her husband, Edward Arndt, to finance 'scholarships, bursaries or grants for postgraduate students (being graduates of The University of Western Australia) in Ophthalmology either in Australia or overseas.",,End June,,,Co-Ed,,Sciences,,,,,http://www.scholarships.uwa.edu.au/search?sc_view=1&id=393&page=17&all=1&page1=16&page2=16
Edwin Munro Scholarship in Agricultural Science,University of Queensland,The scholarship was founded in 1941 by a gift from Mr Edwin Munro.,Applicants must: be enrolled in the first year of a postgraduate program administered by the Faculty of Science; and have previously completed an undergraduate Agricultural Science (Honours).,,Scholarship,,Co-Ed,Annual,"Agriculture & Natural Resources, Sciences","Brisbane Metropolitan, Ipswich/West Moreton",1,,,http://scholarships.uq.edu.au/scholarship/edwin-munro-scholarship-in-agricultural-science
Elaine Martin Fund Travel Grant,Flinders University,The travel grants are to assist research students in the Faculty of Science and Engineering with meeting expenses involved in attending an overseas conference.,Applicants must: have completed at least 1 year enrolled as a postgraduate research student; not be in full-time paid employment or on fully-paid study leave for a period of 12 months prior to the closing date for applications; and otherwise be unable to attend the conference for which they have applied due to financial reasons. Selection is based primarily on academic merit. Consideration will be given to financial need and the relevance of the conference to the student's postgraduate study.,Late February,"Equity Scholarship, Travel Grant outside Australia",Postgraduate,Co-Ed,Annual,"Engineering & Technology, Sciences",Adelaide Metropolitan,2,Educational disadvantage,"Engineering, Science, Biology",http://www.flinders.edu.au/scholarships-system/index.cfm/scholarships/search
Elite Athlete Sports Scholarship,UNSW Sydney,The Elite Athlete Sports Scholarship is for future and current UNSW students with an outstanding ability in sport.,"Applicants must be enrolled or intending to enrol in an undergraduate or postgraduate program at UNSW and have an outstanding sporting ability. Consideration will be given to leadership qualities, community involvement and ability to contribute to wider University life.",30 November,Scholarship,,Co-Ed,Annual,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services, ELICOS course",Sydney Metropolitan,40,,,http://scholarships.online.unsw.edu.au
Elizabeth and Nicholas Slezak Scholarship,The University of Melbourne,"The funds for the scholarship have been donated by Mrs Elizabeth Slezak, to establish a travelling scholarship to enable a University of Melbourne woman graduate to study French language and literature in France.","Applicants must be female graduates of French Studies, who wish to study French language and literature in France. Students enrolled at the University of Melbourne who propose to undertake a period of study at an approved institution in France.",End March,"Scholarship, Travel Grant outside Australia",,Female,Annual,Language & Literature,Melbourne Metropolitan,1,,"French (language), French literature",http://arts.unimelb.edu.au/scholarships
Emeritus Professor John Jackson Undergraduate Scholarship in Business,University of Western Australia,"The late Emeritus Professor John Jackson, who taught Economics in the (then) Faculty of Economics and Commerce from the 1970's and was appointed Dean of the Faculty in 1986, bequeathed $100,000 to The University of Western Australia ('the University') to establish the Emeritus Professor John Jackson Undergraduate Scholarship in Business Fund to provide a scholarship to assist disadvantaged students at the University to undertake an undergraduate degree course leading to the Bachelor of Commerce degree.",,Early March,Scholarship,,Co-Ed,Annual,"Accounting, Business & Management",,,,,http://www.scholarships.uwa.edu.au/search?sc_view=1&id=1281&page=17&all=1&page1=16&page2=16
Emma Grollo Memorial Scholarship,The University of Melbourne,The Emma Grollo Memorial Scholarship has been established by a donation from Bruno and Rino Grollo of the Grollo Group of Companies in memory of their late mother. The scholarship is to assist students of Italian language or literature of the university to pursue their studies in those fields at an Italian university or institution approved by the Council.,The scholarship is open to Faculty of Arts students undertaking study in Italian language or literature in any of the following courses: Bachelor of Arts (including Honours); Diploma of Languages; Diploma of Modern Languages; Diploma of Arts; Graduate Diploma in Arts; Postgraduate Diploma in Arts; Master of Arts; or Doctor of Philosophy.,16 May,"Scholarship, Travel Grant outside Australia",,Co-Ed,Annual,Language & Literature,Melbourne Metropolitan,,,"Italian (language), Literature, Languages, Italian studies, Italian literature, Italian culture",http://arts.unimelb.edu.au/scholarships
Endeavour Australia Cheung Kong Research Fellowships,Australian Government Department of Education and Training,"The Endeavour Australia Cheung Kong Research Fellowship provides financial support for postgraduate students and postdoctoral fellows from participating Asian countries to undertake short-term research (4-6 months) in any field, in Australia and for Australians to do the same in participating Asian countries. The Endeavour Australia Cheung Kong Research Fellowship represents a unique partnership with the Australian Government to support postgraduate students and fellows from Asia and Australia to study in each other's countries. The top 5 international and Australian Endeavour Research Fellowship recipients coming from and/or going to a participating country will be offered an Endeavour Australia Cheung Kong Research Fellowship. The eligibility requirements and application process are the same as the Endeavour Research Fellowship, therefore all eligible applicants will be considered.",,15 November,Scholarship,,Co-Ed,Annual,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services",Anywhere in Australia,,,,http://internationaleducation.gov.au/endeavour
Endeavour Executive Fellowship,Australian Government Department of Education and Training,"The Endeavour Executive Fellowship provides financial support towards professional development opportunities for high achievers in business, industry, education or government for international and Australian applicants. It focuses on learning and building skills and knowledge through a host work environment in the applicant's field or area of expertise rather than through formal enrolment in a study program. The Endeavour Executive Fellowship is not suitable for academic research proposals (academic research proposals are more suited for an Endeavour Research Fellowship). If the proposed program contributes to or results in an applicant receiving a formal qualification, they will not be eligible to apply for this category. Applicants must be nominated by their host organisation. The professional development activity must be vocationally useful while not being geared toward an immediate commercial outcome as its purpose. Professional development activities could include attending a conference or short course, management training, peer-to-peer learning or mentoring.",,End June,Scholarship,,Co-Ed,,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services, ELICOS course",Anywhere in Australia,78,,,http://internationaleducation.gov.au/endeavour
Endeavour Postgraduate Scholarships,Queensland University of Technology,"The Endeavour Scholarships and Fellowships program forms part of the Australia Awards initiative established in 2009, which brings together under one banner scholarships offered by the Department of Education, the Department of Foreign Affairs and Trade, and the Australian Centre for International Agricultural Research.","A scholarship for future postgraduate coursework and research students studying in any faculty. Endeavour Scholarships and Fellowships are internationally competitive, merit-based scholarships provided by the Australian Government that support citizens of the Asia-Pacific, the Middle-East, Europe and the Americas to undertake study, research and professional development programs in Australia.",,Scholarship,,Co-Ed,,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services",Brisbane Metropolitan,,,,http://www.qut.edu.au/study/fees-and-scholarships/scholarships/endeavour-postgraduate-scholarships
Endeavour Research Fellowships,Australian Government Department of Education and Training,"The Endeavour Research Fellowships (including Australia Cheung Kong and Australia India Education Council) provides financial support for international postgraduate students and postdoctoral fellows to undertake short-term research (4-6 months) towards an overseas Masters, PhD or postdoctoral research in any field in Australia, and for Australian postgraduate students and postdoctoral fellows to undertake short-term research (4-6 months) towards an Australian Masters, PhD or postdoctoral research, in any field, overseas.",,30 June,Scholarship,,Co-Ed,Multiple/year,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services",Anywhere in Australia,,,,http://internationaleducation.gov.au/endeavour
Endeavour Scholarships,University of Western Australia,"Endeavour Scholarships and Fellowships are internationally competitive, merit-based scholarships provided by the Australian Government that support citizens of countries in the Asia-Pacific, the Middle East, Europe and the Americas to undertake study, research and professional development programmes in Australia and for Australians to undertake these activities overseas.",,Mid November,Scholarship,,Co-Ed,Annual,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services",,,,,http://www.scholarships.uwa.edu.au/search?sc_view=1&id=543&page=18&all=1&page1=17&page2=17
Engineering Excellence Scholarship,Monash University,The scholarship is awarded based on academic achievement to the highest achieving students intending to enrol in any undergraduate engineering program.,"Applicants must: be an Australian or New Zealand citizen, holder of an Australian permanent resident visa or permanent humanitarian visa, or an international student; be completing Year 12 or IB in Australia; be intending to enrol in any undergraduate engineering single or double degree program in the Faculty of Engineering at a Monash campus in Australia; and have an minimum ATAR score of 98. Selection awarded to the highest achieving students based on academic achievement. Tenure will be dependent on maintenance of a 70 per cent or above each semester.",No application required,Scholarship,,Co-Ed,Annual,Engineering & Technology,Melbourne Metropolitan,50,,Engineering,http://www.monash.edu.au/study/scholarships/merit/engineering-excellence.html
Engineering Top-up Scholarship,UNSW Sydney,,The award is available to full-time students who are undertaking PhD studies in the Faculty of Engineering at UNSW.,,Supplementary Scholarship,,Co-Ed,Annual,Engineering & Technology,Sydney Metropolitan,,,Engineering,http://www.eng.unsw.edu.au/information-for/future-students/postgraduate-research/admission/scholarships_12669
Enhancing adaptive potential and genetic gain in chia and quinoa PhD Scholarship,University of Western Australia,"Chia and quinoa are superfood species that have an emerging role as break crops within cotton rotations in Northern Australian agriculture regions.This project, supported by Northern Australia Crop Research Alliance Pty Ltd (NACRA), UWA and CRC-P funding, will undertake research toward understanding fundamental responses of chia/ quinoa to environmental stimuli such as light and/or abiotic stress factors. The successful candidate will work closely with Prof. William Erskine, Dr Janine Croser (SAgE) and industry collaborators to use novel tools to better understand the underlying gene pathways involved in the response of these species to key stress factors. Platforms for more rapid genetic gain will be developed and used to enhance the adaptive potential of these crops. Outputs of this research will be:1. Enhanced knowledge of genetic pathways involved in response to light/ stress2. A platform for more rapid genetic gain based on controlled environment growth",Minimum first class honours,End October,Scholarship,,Co-Ed,Annual,,,,,,http://www.scholarships.uwa.edu.au/search?sc_view=1&id=7922&page=18&ApplicationStatus=-1&StudyLevel=-1&StudyArea=-
EQUALS International Institute and the Centre for Equality Scholarship,EQUALS International,"EQUALS International, in partnership with the Centre for Equality, offer a range of scholarships to study VET programs at EQUALS.",The scholarship is open to domestic and international students aged at least 18 years of age who are commencing a VET program at EQUALS International.,,Scholarship,,Co-Ed,Annual,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services, ELICOS course",Adelaide Metropolitan,,,,http://www.equals.net.au/financial-assistance/
ER Walker Bequest Bursary,James Cook University,"The ER Walker Bequest Bursary was established in 2014 to support early career researchers undertaking research on stinging jellyfishes (Class Cubozoa) as part of a degree at James Cook University. The research may be on any aspect of Cubozoan biology, ecology or risk management, as well as the study of venoms, development of anti-venoms or patient care.",Applicants must: be enrolled in an honours or postgraduate degree and undertaking research on stinging jellyfish (Class Cubozoa).,15 August,Scholarship,,Co-Ed,Annual,Agriculture & Natural Resources,North Queensland,,,,http://www.jcu.edu.au/scholarships
Establishment Allowances for Interstate Applicants,University of Western Australia,Establishment Allowances may be awarded to eligible applicants for Research Training Program (RTP) Stipends or University Postgraduate Awards.,Applicants must be eligible for a Research Training Program Stipend or University Postgraduate Award and relocate from interstate to take up the award.,End October,Allowance,,Co-Ed,,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services",,,,,http://www.scholarships.uwa.edu.au/search?sc_view=1&id=603&page=18&all=1&page1=17&page2=17
Evidence-informed Physical Activity Policy for the Early Years - PhD Scholarships,University of Western Australia,"The PLAY Spaces and Environments for Children's Physical Activity, Health and Development program of research (PLAYCE) involves identifying, implementing and evaluating strategies to give young children the best possible start to life. The early years are a critical period for developing healthy behaviours such as physical activity, reduced sedentary and screen time and good sleep habits. The first five years are also vitally important for a child's physical, cognitive and social-emotional development and learning which impacts on their future life chances. Our research targets the environments in which young children are exposed; home, neighbourhood and early childhood education and care. We have exciting research opportunities for highly motivated PhD research students who are interested in doing multi-disciplinary research that makes a difference. The PLAYCE Research Group is an internationally recognised multidisciplinary team with complimentary expertise in child physical activity and related health behaviours, community and early childhood education and care based interventions, supportive environments for physical activity and health, national and international physical activity policy and guideline development, physical activity measurement, health promotion policy implementation and evaluation, qualitative and quantitative health research methods, consumer and community engagement and working collaboratively with government, NGOS and private partners.","Applicants must meet the eligibility criteria for enrolment in a Doctor of Philosophy (PhD) at UWA, including a high level of English language proficiency (Academic IELTS - 6.5 overall, no bands lower than 6.0) or equivalent is required); Applicants should also be able to conduct quantitative and qualitative research, have excellent writing skills, statistical analysis skills (SPSS/SAS), be able to work as part of a team and have good interpersonal and communication skills.",End October,Scholarship,,Co-Ed,Annual,,,,,,http://www.scholarships.uwa.edu.au/search?sc_view=1&id=8401&page=19&ApplicationStatus=-1&StudyLevel=-1&StudyArea=-
Excellence Scholarship,Bond University,"Excellence Scholarships are available in two categories: - Excellence Scholarship - Judge John Newton Mooting Scholarship Excellence Scholarships offer up to 50 percent tuition remission for either a single or approved combined undergraduate degree (excluding the Bond Medical Program) and are awarded to students who demonstrate high academic achievement, leadership skills and community involvement.","Australian students To be considered, applicants must be predicted to achieve a minimum of OP 5, ATAR 91.00 or IB Diploma 33. Demonstrated record of leadership, initiative and service to their School and/or Community. Applicants must also meet the standard entry requirements for their chosen program of study. Please note, this scholarship is only available to students who are currently completing Year 12 at an Australian High School. International students To be considered, applicants must be predicted to achieve a minimum of OP 5, ATAR 91.00 or IB Diploma 33. Demonstrated record of leadership, initiative and service to their School and/or Community. Applicants must also meet the standard entry requirements for their chosen program of study. Please note, this scholarship is only available to international students who are currently completing Year 12 at an Australian High School.",Early September,Scholarship,,Co-Ed,Annual,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services",Gold Coast,,,,http://bond.edu.au/scholarship/excellence-scholarships
Excellent Achiever Scholarship - Maritime and Logistics Management,University of Tasmania,"The National Centre for Ports and Shipping - Maritime and Logistics Management section, part of the Australian Maritime College (AMC), is offering two scholarships to recognise students who achieve high tertiary entrance scores and who are enrolling for the first time in on-campus study at the AMC in maritime and logistics management.","Scholarships will be awarded to two students who have achieved an Australian Tertiary Admission Ranking (ATAR) of 90 or above, OP6 or above, or IB36 or above, awarded in 2018, and who are commencing their first year of study in any undergraduate level degree program offered by the National Centre for Ports & Shipping (NCPS) - Maritime Logistics Management Section. International students with an Australian Tertiary Admission Ranking (ATAR) awarded in 2018 as outlined above, are welcome to apply but will need to provide proof of ATAR rank.",31 October,Scholarship,,Co-Ed,,,,,,,http://info.scholarships.utas.edu.au/AwardDetails.aspx?AwardId=2592
Excellent Achiever Scholarship - National Centre for Maritime Engineering,University of Tasmania,"The National Centre for Maritime Engineering & Hydrodynamics (NCMEH), a National Centre of the Australian Maritime College (AMC), is offering these scholarships to recognise students who achieve high tertiary entrance scores and who are enrolling for the first time at the AMC in maritime engineering.","Scholarships will be awarded to domestic students who have achieved an Australian Tertiary Admission Ranking (ATAR) of 90 or above, OP6 or above, or IB36 or above in 2018, and who are commencing their first year of study in any undergraduate level degree maritime engineering program offered by the NCMEH, in Semester 1, 2019. International students who have achieved an ATAR in 2018 are encouraged to apply but will need to apply for the scholarship by the closing date and provide proof of ATAR, once available.",31 October,Scholarship,,Co-Ed,,,,,,,http://info.scholarships.utas.edu.au/AwardDetails.aspx?AwardId=2590
Experience OZ Scholarship,CQUniversity Australia,Oz Experience aims to encourage young and upcoming members of Australian society to engage in the pursuit of either of these fields and help push both sectors in our country forward.,"Applicants must: be an Australian resident aged 18 or older, or currently hold a valid student visa; be enrolled (or planning to enrol) in a university, trade or technical school within Australia; be currently studying at the date of application; and be undertaking one of the following fields of study: Information Technology; Computer Engineering; Web Design; Business; Marketing; or Tourism; Hospitality.",end of June,Scholarship,,Co-Ed,,"Business & Management, Computing & Information Technology, Tourism","Brisbane Metropolitan, Gold Coast, Sunshine Coast, Wide Bay, Central Queensland, Sydney Metropolitan, Melbourne Metropolitan",1,,,http://www.cqu.edu.au/courses-and-programs/scholarships/offerings/experience-oz-scholarship
F A Hadley Travelling Scholarships,University of Western Australia,"The late Mr Frederick Augustus Hadley having left to the University his residuary estate to be used by the Faculty of Medicine, Dentistry and Health Sciences preferentially for the establishment of a postgraduate travelling scholarship or scholarships, a fund is established for the purpose and the scholarships are administered in accordance with the regulations governing the Medical Awards.The object of the scholarships is to provide outstanding graduates, who have qualified by examination for the degrees of Bachelor of Medicine and Bachelor of Surgery in The University of Western Australia and demonstrated their eligibility by publications and/or attainment of postgraduate degrees or diplomas, with the means of pursuing further studies or research overseas.",,Early January,Travel Grant outside Australia,,Co-Ed,,"Medicine, Sciences",,,,,http://www.scholarships.uwa.edu.au/search?sc_view=1&id=408&page=19&all=1&page1=18&page2=18
Faculty of Arts Honours Merit Scholarship,Monash University,,"Applicants must: be Australian or New Zealand citizens, Australian permanent residents, permanent humanitarian visa holders or international students; and be commencing a Monash University honours program in the Faculty of Arts at a Monash campus in Australia. Selection is based on academic merit and a high distinction average in the applicant's undergraduate major/honours specialisation. Tenure is dependent on maintaining a minimum of a distinction average each semester.",No application required,Scholarship,,Co-Ed,Annual,"Communications, Creative Arts, Humanities & Social Sciences, Language & Literature",Melbourne Metropolitan,,,,http://www.monash.edu.au/study/scholarships/international/arts-merit.html
Faculty of Business and Law Undergraduate Scholarship for Continuing Students,University of Newcastle,The scholarship was established by the Faculty of Business and Law to support and encourage continuing students enrolling full-time in an undergraduate degree in the Faculty of Business and Law.,"Applicants must: be enrolled in the Bachelor of Business, Bachelor of Commerce, or Bachelor of Laws/Combined; be enrolled full-time; and have completed at least 80 units of the current program. Selection is based on academic merit.",March,Scholarship,,Co-Ed,Annual,"Accounting, Business & Management, Economics, Law",Hunter,5,,"Law, Economics, Commerce, Management, Finance, Business",http://www.newcastle.edu.au/scholarships/
Faculty of Education International Student Scholarship,Queensland University of Technology,"Four scholarships are awarded to students commencing in semester 1, and one scholarship to students commencing in semester 2.","A scholarship for international students starting a Master of Education. You can apply for this scholarship if you're an international student and you have received an offer to study a Master of Education (EU70) (Early Years, Inclusive Education, General Studies, Leadership and Management, STEM or TESOL) and are commencing your studies in the upcoming semester.","February 15, 2019",Scholarship,,Co-Ed,Multiple/year,Education & Training,Brisbane Metropolitan,1,,Education,http://www.qut.edu.au/study/fees-and-scholarships/scholarships/faculty-of-education-international-student-scholarship
Faculty of Engineering and Built Environment Global E3 Exchange Scholarship,University of Newcastle,The scholarship opportunity is aimed at encouraging students to experience exchange programs with Global E3 partner institutions to further enhance their studies.,"Applicants must: be enrolled in the second year or later in any eligible engineering undergraduate program offered by the Faculty of Engineering and Built Environment and have successfully completed a minimum of 60 units of study at Callaghan campus; be enrolled full-time (minimum 30 units); be willing to go on exchange with a Global E3 partner institution in either Semester 1 or 2, and within 12 months of the scholarship offer; and be able to demonstrate academic performance with a Cumulative WAM of 65.",Early March,Scholarship,,Co-Ed,Annual,Engineering & Technology,Hunter,15,,,http://www.newcastle.edu.au/scholarships/
Faculty of Engineering and Built Environment Outgoing Student Exchange Scholarship,University of Newcastle,The scholarships are available to Faculty of Engineering and Built Environment students who are participating in the University of Newcastle Student Exchange Program. They were established by the Pro Vice-Chancellor of the faculty to encourage and support students who join the Exchange Program.,Applicants must: be enrolled in the second year or later in any undergraduate program offered by the Faculty of Engineering and Built Environment; be enrolled full-time; be approved to participate in the University of Newcastle Outgoing Student Exchange Program; and receive approval from the relevant Program Officer regarding choice of courses to be studied and subsequent credit.,Early March,Travel Grant outside Australia,,Co-Ed,Annual,"Architecture, Built Environment, Engineering & Technology",Hunter,10,,"Engineering, Built environment",http://www.newcastle.edu.au/scholarships
Faculty of Law Postgraduate Coursework Academic Excellence Scholarship,UNSW Sydney,The scholarship has been established to encourage high achieving domestic and international students to apply for postgraduate coursework programs.,Applicants must: be applying for UNSW postgraduate law coursework degree programs.,30 November,Scholarship,,Co-Ed,,Law,Sydney Metropolitan,,,,http://www.scholarships.unsw.edu.au/scholarships/search
Fast Forward Academic Excellence Scholarship,Western Sydney University,"Fast Forward is a partnership between schools in the Western Sydney region and the University. The program encourages high school students and their families to see tertiary study as a realistic and viable post school option and raises participants' aspirations for the future. The program aims to increase the higher education participation rates of students in the West by enhancing students' knowledge, skills and educational attainment. The Fast Forward program gives students a greater preparedness for participation and success in higher education.",Be Australian citizens or permanent residents. Apply for any undergraduate degree at the University in their top three preferences through Universities Admissions Centre (UAC) (opens in new window) Opens in a new window by close of Change of Preferences on 6 January 2019 have been actively involved in the Fast Forward Program throughout high school including attending opportunities provided by the program. Demonstrate academic potential by achieving an ATAR of 80 or above. Demonstrate a commitment to the aims and values of the Fast Forward program.,Early January,Scholarship,,Co-Ed,,,,,,,http://www.westernsydney.edu.au/informationabout/scholarships_home/all_uws_scholarships/FFS
